id,datetime,title,hazard_codes,primary_country,collection
emdat-event-2023-0044-IDN,2023-01-27T00:00:00Z,Flood (General) in Indonesia,nat-hyd-flo-flo,IDN,emdat-events
emdat-event-2023-0041-MYS,2023-01-20T00:00:00Z,Flood (General) in Malaysia,nat-hyd-flo-flo,MYS,emdat-events
emdat-event-2023-0041-IDN,2023-01-20T00:00:00Z,Flood (General) in Indonesia,nat-hyd-flo-flo,IDN,emdat-events
glide-event-FL-2023-000211-BGD,2023-10-24T00:00:00Z,,nat-hyd-flo-flo;FL,BGD,glide-events
glide-event-FL-2023-000201-MMR,2023-10-09T00:00:00Z,,nat-hyd-flo-flo;FL,MMR,glide-events
glide-event-FL-2023-000196-LKA,2023-10-06T00:00:00Z,,nat-hyd-flo-flo;FL,LKA,glide-events
glide-event-FL-2023-000189-MMR,2023-09-08T00:00:00Z,,nat-hyd-flo-flo;FL,MMR,glide-events
glide-event-FL-2023-000157-BGD,2023-08-07T00:00:00Z,,nat-hyd-flo-flo;FL,BGD,glide-events
glide-event-FF-2023-000122-BTN,2023-07-20T00:00:00Z,,nat-hyd-flo-fla;FF,BTN,glide-events
glide-event-FL-2023-000120-PAK,2023-07-17T00:00:00Z,,nat-hyd-flo-flo;FL,PAK,glide-events
glide-event-FL-2023-000119-PAK,2023-07-17T00:00:00Z,,nat-hyd-flo-flo;FL,PAK,glide-events
glide-event-FF-2023-000133-AFG,2023-07-16T00:00:00Z,,nat-hyd-flo-fla;FF,AFG,glide-events
glide-event-FL-2023-000112-IND,2023-07-09T00:00:00Z,,nat-hyd-flo-flo;FL,IND,glide-events
glide-event-FL-2023-000104-IND,2023-06-14T00:00:00Z,,nat-hyd-flo-flo;FL,IND,glide-events
glide-event-FL-2023-000073-BGD,2023-05-13T00:00:00Z,,nat-hyd-flo-flo;FL,BGD,glide-events
gdacs-event-1103051,2024-12-17T01:00:00Z,Flood in Maldives,FL,MDV,gdacs-events
gdacs-event-1103049,2024-12-12T01:00:00Z,Flood in Thailand,FL,THA,gdacs-events
gdacs-event-1103048,2024-12-12T01:00:00Z,Flood in India,FL,IND,gdacs-events
gdacs-event-1103031,2024-12-01T01:00:00Z,Flood in India,FL,IND,gdacs-events
gdacs-event-1103023,2024-11-18T01:00:00Z,Flood in Sri Lanka,FL,LKA,gdacs-events
gdacs-event-1102974,2024-10-20T01:00:00Z,Flood in India,FL,IND,gdacs-events
gdacs-event-1102957,2024-10-08T01:00:00Z,Flood in Sri Lanka,FL,LKA,gdacs-events
gdacs-event-1102947,2024-10-07T01:00:00Z,Flood in Pakistan,FL,PAK,gdacs-events
gdacs-event-1102937,2024-10-05T01:00:00Z,Flood in Bangladesh,FL,BGD,gdacs-events
gdacs-event-1102925,2024-10-01T01:00:00Z,Flood in Thailand,FL,THA,gdacs-events
gdacs-event-1102923,2024-09-26T01:00:00Z,Flood in Nepal,FL,NPL,gdacs-events
gdacs-event-1102945,2024-09-20T01:00:00Z,Flood in India,FL,IND,gdacs-events
gdacs-event-1102897,2024-09-12T01:00:00Z,Flood in Bangladesh,FL,BGD,gdacs-events
gdacs-event-1102862,2024-09-05T01:00:00Z,Flood in Nepal,FL,NPL,gdacs-events
gdacs-event-1102863,2024-08-30T01:00:00Z,Flood in India,FL,IND,gdacs-events
gdacs-event-1102847,2024-08-18T01:00:00Z,Flood in Bangladesh,FL,BGD,gdacs-events
gdacs-event-1102836,2024-08-16T01:00:00Z,Flood in Nepal,FL,NPL,gdacs-events
gdacs-event-1102846,2024-08-15T01:00:00Z,Flood in Thailand,FL,THA,gdacs-events
gdacs-event-1102817,2024-08-10T01:00:00Z,Flood in Bhutan,FL,BTN,gdacs-events
gdacs-event-1102821,2024-08-09T01:00:00Z,Flood in Indonesia,FL,IDN,gdacs-events
gdacs-event-1102813,2024-08-04T01:00:00Z,Flood in Tajikistan,FL,TJK,gdacs-events
gdacs-event-1102808,2024-07-30T01:00:00Z,Flood in Nepal,FL,NPL,gdacs-events
gdacs-event-1102785,2024-07-29T01:00:00Z,Flood in Pakistan,FL,PAK,gdacs-events
gdacs-event-1102762,2024-07-15T01:00:00Z,Flood in Afghanistan,FL,AFG,gdacs-events
gdacs-event-1102747,2024-07-05T01:00:00Z,Flood in Nepal,FL,NPL,gdacs-events
gdacs-event-1102743,2024-07-01T01:00:00Z,Flood in Bangladesh,FL,BGD,gdacs-events
gdacs-event-1102735,2024-06-30T01:00:00Z,Flood in Myanmar,FL,MMR,gdacs-events
gdacs-event-1102727,2024-06-24T01:00:00Z,Flood in Pakistan,FL,PAK,gdacs-events
gdacs-event-1102722,2024-06-23T01:00:00Z,Flood in Afghanistan,FL,AFG,gdacs-events
gdacs-event-1102717,2024-06-18T01:00:00Z,Flood in Nepal,FL,NPL,gdacs-events
gdacs-event-1102700,2024-06-17T01:00:00Z,Flood in Bangladesh,FL,BGD,gdacs-events
gdacs-event-1102678,2024-06-10T01:00:00Z,Flood in India,FL,IND,gdacs-events
gdacs-event-1102660,2024-06-01T01:00:00Z,Flood in Sri Lanka,FL,LKA,gdacs-events
gdacs-event-1102658,2024-05-28T01:00:00Z,Flood in Myanmar,FL,MMR,gdacs-events
gdacs-event-1102653,2024-05-26T01:00:00Z,Flood in India,FL,IND,gdacs-events
gdacs-event-1102652,2024-05-26T01:00:00Z,Flood in Bangladesh,FL,BGD,gdacs-events
gdacs-event-1102648,2024-05-23T01:00:00Z,Flood in Thailand,FL,THA,gdacs-events
gdacs-event-1102635,2024-05-19T01:00:00Z,Flood in Sri Lanka,FL,LKA,gdacs-events
gdacs-event-1102630,2024-05-17T01:00:00Z,Flood in India,FL,IND,gdacs-events
gdacs-event-1102616,2024-05-09T01:00:00Z,Flood in Afghanistan,FL,AFG,gdacs-events
gdacs-event-1102591,2024-04-25T01:00:00Z,Flood in India,FL,IND,gdacs-events
gdacs-event-1102585,2024-04-21T01:00:00Z,Flood in Nepal,FL,NPL,gdacs-events
gdacs-event-1102570,2024-04-14T01:00:00Z,Flood in Islamic Republic of Iran,FL,IRN,gdacs-events
gdacs-event-1102572,2024-04-12T01:00:00Z,Flood in Pakistan,FL,PAK,gdacs-events
gdacs-event-1102576,2024-04-11T01:00:00Z,Flood in Afghanistan,FL,AFG,gdacs-events
gdacs-event-1102553,2024-03-29T01:00:00Z,Flood in Pakistan,FL,PAK,gdacs-events
gdacs-event-1102535,2024-03-20T01:00:00Z,Flood in Afghanistan,FL,AFG,gdacs-events
gdacs-event-1102506,2024-03-01T01:00:00Z,Flood in Pakistan,FL,PAK,gdacs-events
gdacs-event-1102502,2024-03-01T01:00:00Z,Flood in Afghanistan,FL,AFG,gdacs-events
gdacs-event-1102496,2024-02-26T01:00:00Z,"Flood in Islamic Republic of Iran, Pakistan",FL,PAK,gdacs-events
gdacs-event-1102483,2024-02-17T01:00:00Z,Flood in Pakistan,FL,PAK,gdacs-events
gdacs-event-1102457,2024-02-03T01:00:00Z,Flood in Pakistan,FL,PAK,gdacs-events
gdacs-event-1102431,2024-01-08T01:00:00Z,Flood in Sri Lanka,FL,LKA,gdacs-events
